Path,Caption,GT
LM_video/IR/user1/1-1-1/IR.mp4,"The user leisurely sits on the sofa and gently dries her hands with a towel, softly combs her hair, and unhurriedly changes into daily clothes. She then walks to the center of the living room and calmly performs a set of squats and jumping jacks","wiping hands,combing hair,getting dressed,squats,jumping jacks"
LM_video/IR/user1/1-1-2/IR.mp4,"The user calmly sits on the sofa and steadily dries her hands, methodically combs her hair, quickly changes into daily clothes, and then walks to the center of the living room, earnestly completing a set of squats and jumping jacks.","wiping hands,combing hair,getting dressed,squats,jumping jacks"
LM_video/IR/user1/1-1-3/IR.mp4,"The user hastily sits on the sofa and quickly dries her hands, roughly combs her hair, and hurriedly changes into daily clothes. She then rushes to the center of the living room and swiftly performs a set of squats and jumping jacks.","wiping hands,combing hair,getting dressed,squats,jumping jacks"
LM_video/IR/user1/1-2-1/IR.mp4,The user slowly walks to the kitchen and leisurely peels fruit. She uses utensils to slowly eat the food and unhurriedly begins to wipe the dishes afterward.,"walking,peeling fruit,grabbing utensils,eating,washing dishes"
LM_video/IR/user1/1-2-2/IR.mp4,The user walks straight to the kitchen and carefully peels fruit. She uses utensils to attentively eat the food and meticulously starts wiping the dishes afterward.,"walking,peeling fruit,grabbing utensils,eating,washing dishes"
LM_video/IR/user1/1-2-3/IR.mp4,The user briskly walks to the kitchen and quickly peels fruit. She uses utensils to hurriedly eat the food and frantically starts wiping the dishes afterward.,"walking,peeling fruit,grabbing utensils,eating,washing dishes"
LM_video/IR/user1/2-1-1/IR.mp4,"The user slowly walks to the kitchen, takes out a cup, gently pours a drink, and slowly stirs it with a spoon, her movements delicate and composed. Facing the phone, she copies down a recipe, then picks up a fruit knife and carefully peels the apple, savoring each sweet bite of fruit.","walking,grabbing utensils,pouring,stirring,peeling fruit"
LM_video/IR/user1/2-1-2/IR.mp4,"The user calmly walks to the kitchen, takes out a cup, steadily pours a drink, and stirs it evenly with a spoon, her movements smooth and natural. Facing the phone, she copies a recipe, then picks up a fruit knife and neatly peels the apple, enjoying the refreshing taste of the fruit.","walking,grabbing utensils,pouring,stirring,peeling fruit"
LM_video/IR/user1/2-1-3/IR.mp4,"The user hurriedly walks to the kitchen, quickly grabs a cup, rapidly pours a drink, and stirs it hastily with a spoon, her actions rushed and slightly flustered. Facing the phone, she quickly copies the recipe, then picks up a fruit knife and quickly peels the apple, biting eagerly into the fruit as if racing against time.","walking,grabbing utensils,pouring,stirring,peeling fruit"
LM_video/IR/user1/2-2-1/IR.mp4,"Next, the user stands up from the chair and slowly walks toward the sofa, sits down, and softly types on a keyboard, with a calm stream of thought reflected in the text.","standing up,walking,sitting down,typing on a keyboard"
LM_video/IR/user1/2-2-2/IR.mp4,"Then, the user stands up from the chair, steadily walks to the sofa, sits down, and rhythmically types on a keyboard, with the text conveying logical clarity","standing up,walking,sitting down,typing on a keyboard"
LM_video/IR/user1/2-2-3/IR.mp4,"Next, the user quickly stands up from the chair, briskly walks to the sofa, sits down, and rapidly types on a keyboard, with a sense of urgency showing in the text.","standing up,walking,sitting down,typing on a keyboard"
