Path,GT,Candidates
LM_video/RGB/user1/1-1-1/RGB.mp4,Leisurely,"Calmly,Hastily"
LM_video/RGB/user1/1-1-2/RGB.mp4,Calmly,"Hastily,Leisurely"
LM_video/RGB/user1/1-1-3/RGB.mp4,Hastily,"Leisurely,Calmly"
LM_video/RGB/user1/1-2-1/RGB.mp4,Slowly,"Precisely,Quickly"
LM_video/RGB/user1/1-2-2/RGB.mp4,Precisely,"Quickly,Slowly"
LM_video/RGB/user1/1-2-3/RGB.mp4,Hastily,"Leisurely,Calmly"
LM_video/RGB/user1/2-1-1/RGB.mp4,Gently,"Neatly,Hastily"
LM_video/RGB/user1/2-1-2/RGB.mp4,Neatly,"Hastily,Gently"
LM_video/RGB/user1/2-1-3/RGB.mp4,Hastily,"Gently,Neatly"
LM_video/RGB/user1/2-2-1/RGB.mp4,Slowly,"Steadily,Quickly"
LM_video/RGB/user1/2-2-2/RGB.mp4,Steadily,"Quickly,Slowly"
LM_video/RGB/user1/2-2-3/RGB.mp4,Quickly,"Slowly,Steadily"
LM_video/RGB/user1/3-1-1/RGB.mp4,Leisurely,"Steadily,Hurriedly"
LM_video/RGB/user1/3-1-2/RGB.mp4,Steadily,"Hurriedly,Leisurely"
LM_video/RGB/user1/3-1-3/RGB.mp4,Hurriedly,"Leisurely,Steadily"
LM_video/RGB/user1/3-2-1/RGB.mp4,Casually,"Meticulously,Hurriedly"
LM_video/RGB/user1/3-2-2/RGB.mp4,Meticulously,"Hurriedly,Casually"
LM_video/RGB/user1/3-2-3/RGB.mp4,Hurriedly,"Casually,Meticulously"
LM_video/RGB/user1/4-1-1/RGB.mp4,Casually,"Seriously,Quickly"
LM_video/RGB/user1/4-1-2/RGB.mp4,Seriously,"Quickly,Casually"
LM_video/RGB/user1/4-1-3/RGB.mp4,Quickly,"Casually,Seriously"
LM_video/RGB/user1/5-1-1/RGB.mp4,Gently,"Steadily,Anxiously"
LM_video/RGB/user1/5-1-2/RGB.mp4,Steadily,"Anxiously,Gently"
LM_video/RGB/user1/5-1-3/RGB.mp4,Anxiously,"Gently,Steadily"
LM_video/RGB/user1/6-1-1/RGB.mp4,Slowly,"Evenly,Quickly"
LM_video/RGB/user1/6-1-2/RGB.mp4,Evenly,"Quickly,Slowly"
