video_path,logic,candidate
SM_video/Depth/5穿衣/user1/1-1-1/Depth.mp4,gettingdressed,"""undressing, massaging oneself"""
SM_video/Depth/5穿衣/user1/1-1-2/Depth.mp4,gettingdressed,"""undressing, massaging oneself"""
SM_video/Depth/5穿衣/user1/1-1-3/Depth.mp4,gettingdressed,"""undressing, massaging oneself"""
SM_video/Depth/7吃东西/user1/1-2-1/Depth.mp4,eating,"""grabbing utensils, taking medicine"""
SM_video/Depth/14擦碗/user1/1-2-1/Depth.mp4,washingdishes,"""wiping surfaces, playing games"""
SM_video/Depth/7吃东西/user1/1-2-2/Depth.mp4,eating,"""grabbing utensils, taking medicine"""
SM_video/Depth/14擦碗/user1/1-2-2/Depth.mp4,washingdishes,"""wiping surfaces, playing games"""
SM_video/Depth/9倒饮料/user1/2-1-1/Depth.mp4,pouring,"""wiping hands, checking the time"""
SM_video/Depth/41削水果/user1/2-1-1/Depth.mp4,peelingfruit,"""peeling fruit, folding clothes"""
SM_video/Depth/9倒饮料/user1/2-1-2/Depth.mp4,pouring,"""wiping hands, checking the time"""
SM_video/Depth/9倒饮料/user1/2-1-3/Depth.mp4,pouring,"""wiping hands, checking the time"""
SM_video/Depth/41削水果/user1/2-1-3/Depth.mp4,peelingfruit,"""peeling fruit, folding clothes"""
SM_video/Depth/41削水果/user1/2-1-3/Depth.mp4,peelingfruit,"""peeling fruit, folding clothes"""
SM_video/Depth/17敲击键盘/user1/2-2-1/Depth.mp4,typingonakeyboard,"""playing games, writing"""
SM_video/Depth/17敲击键盘/user1/2-2-2/Depth.mp4,typingonakeyboard,"""playing games, writing"""
SM_video/Depth/17敲击键盘/user1/2-2-3/Depth.mp4,typingonakeyboard,"""playing games, writing"""
SM_video/Depth/7吃东西/user1/3-1-1/Depth.mp4,eating,"""brushing teeth, drinking"""
SM_video/Depth/7吃东西/user1/3-1-2/Depth.mp4,eating,"""brushing teeth, drinking"""
SM_video/Depth/7吃东西/user1/3-1-3/Depth.mp4,eating,"""brushing teeth, drinking"""
SM_video/Depth/13拖地/user1/3-2-1/Depth.mp4,mopping,"""sweeping, walking"""
SM_video/Depth/17敲击键盘/user1/3-2-1/Depth.mp4,typingonakeyboard,"""playing games, writing"""
SM_video/Depth/13拖地/user1/3-2-2/Depth.mp4,mopping,"""sweeping, walking"""
SM_video/Depth/17敲击键盘/user1/3-2-2/Depth.mp4,typingonakeyboard,"""playing games, writing"""
SM_video/Depth/13拖地/user1/3-2-3/Depth.mp4,mopping,"""sweeping, walking"""
SM_video/Depth/17敲击键盘/user1/3-2-3/Depth.mp4,typingonakeyboard,"""playing games, writing"""
SM_video/Depth/6喝水/user1/4-1-1/Depth.mp4,drinking,"""eating, taking medicine"""
SM_video/Depth/7吃东西/user1/4-1-1/Depth.mp4,eating,"""grabbing utensils, taking medicine"""
SM_video/Depth/6喝水/user1/4-1-2/Depth.mp4,drinking,"""eating, taking medicine"""
SM_video/Depth/7吃东西/user1/4-1-2/Depth.mp4,eating,"""grabbing utensils, taking medicine"""
SM_video/Depth/6喝水/user1/4-1-3/Depth.mp4,drinking,"""eating, taking medicine"""
SM_video/Depth/7吃东西/user1/4-1-3/Depth.mp4,eating,"""grabbing utensils, taking medicine"""
SM_video/Depth/27自拍/user1/5-1-1/Depth.mp4,takingaselfie,"""checking the time, using mobile phone"""
SM_video/Depth/6喝水/user1/5-1-1/Depth.mp4,drinking,"""eating, taking medicine"""
SM_video/Depth/25看电视/user1/5-1-1/Depth.mp4,watchingTV,"""sitting down, reading"""
SM_video/Depth/27自拍/user1/5-1-2/Depth.mp4,takingaselfie,"""checking the time, using mobile phone"""
SM_video/Depth/6喝水/user1/5-1-2/Depth.mp4,drinking,"""eating, taking medicine"""
SM_video/Depth/25看电视/user1/5-1-2/Depth.mp4,watchingTV,"""sitting down, reading"""
SM_video/Depth/27自拍/user1/5-1-3/Depth.mp4,takingaselfie,"""checking the time, using mobile phone"""
SM_video/Depth/6喝水/user1/5-1-3/Depth.mp4,drinking,"""eating, taking medicine"""
SM_video/Depth/25看电视/user1/5-1-3/Depth.mp4,watchingTV,"""sitting down, reading"""
SM_video/Depth/7吃东西/user1/6-1-1/Depth.mp4,eating,"""grabbing utensils, taking medicine"""
SM_video/Depth/7吃东西/user1/6-1-2/Depth.mp4,eating,"""grabbing utensils, taking medicine"""
SM_video/Depth/7吃东西/user1/6-1-3/Depth.mp4,eating,"""grabbing utensils, taking medicine"""
SM_video/Depth/12扫地/user1/6-2-1/Depth.mp4,sweeping,"""mopping, walking"""
SM_video/Depth/21阅读文件/user1/6-2-1/Depth.mp4,reading,"""writing, turning a page"""
SM_video/Depth/12扫地/user1/6-2-2/Depth.mp4,sweeping,"""mopping, walking"""
SM_video/Depth/21阅读文件/user1/6-2-2/Depth.mp4,reading,"""writing, turning a page"""
SM_video/Depth/12扫地/user1/6-2-3/Depth.mp4,sweeping,"""mopping, walking"""
SM_video/Depth/21阅读文件/user1/6-2-3/Depth.mp4,reading,"""writing, turning a page"""
SM_video/Depth/37服药/user1/7-1-1/Depth.mp4,takingmedicine,"""eating, grabbing utensils"""
SM_video/Depth/37服药/user1/7-1-2/Depth.mp4,takingmedicine,"""eating, grabbing utensils"""
SM_video/Depth/37服药/user1/7-1-3/Depth.mp4,takingmedicine,"""eating, grabbing utensils"""
SM_video/Depth/16叠衣服/user2/1-1-1/Depth.mp4,foldingclothes,"""undressing,getting dressed"""
SM_video/Depth/16叠衣服/user2/1-1-2/Depth.mp4,foldingclothes,"""undressing,getting dressed"""
SM_video/Depth/16叠衣服/user2/1-1-3/Depth.mp4,foldingclothes,"""undressing,getting dressed"""
SM_video/Depth/7吃东西/user2/1-2-1/Depth.mp4,eating,"""stirring,washing dishes"""
SM_video/Depth/6喝水/user2/1-2-1/Depth.mp4,drinking,"""pouring,stirring"""
SM_video/Depth/7吃东西/user2/1-2-2/Depth.mp4,eating,"""stirring,washing dishes"""
SM_video/Depth/6喝水/user2/1-2-2/Depth.mp4,drinking,"""pouring,stirring"""
SM_video/Depth/7吃东西/user2/1-2-3/Depth.mp4,eating,"""stirring,washing dishes"""
