时间,设备名称,加速度X(g),加速度Y(g),加速度Z(g),角速度X(°/s),角速度Y(°/s),角速度Z(°/s),角度X(°),角度Y(°),角度Z(°),磁场X(uT),磁场Y(uT),磁场Z(uT),四元数0(),四元数1(),四元数2(),四元数3(),温度(°C),版本号(),电量(%)
2025-05-07 11:48:39.722,WTC(C4:80:F9:46:D1:94),-0.271,0.77,0.625,-0.61,0.0,0.427,50.21,16.58,-108.4,-29.25,-59.25,-70.308,-0.47702,-0.35013,0.25964,0.76312,25.8,10080.1.21,100
2025-05-07 11:48:39.736,WTLA(D2:5B:8F:2B:49:EE),0.269,-0.418,0.895,0.122,0.793,-0.793,-23.87,-14.56,162.63,-13.0,13.5,-55.008,0.17126,0.09335,-0.2229,0.95508,22.9,10080.1.21,100
2025-05-07 11:48:39.786,WTRA(F7:C5:A7:64:8A:09),0.287,0.534,0.812,0.549,0.0,0.0,33.39,-15.1,-148.26,-36.25,-37.375,-12.0,-0.29602,0.04343,0.30853,0.90289,23.3,10080.1.21,100
2025-05-07 11:48:39.841,WTC(C4:80:F9:46:D1:94),-0.261,0.76,0.624,0.244,3.723,0.732,50.28,16.56,-108.35,-29.25,-59.25,-70.308,-0.47702,-0.35013,0.25964,0.76312,25.8,10080.1.21,100
2025-05-07 11:48:39.854,WTLA(D2:5B:8F:2B:49:EE),0.298,-0.43,0.886,-0.305,-0.122,-1.526,-23.89,-14.54,162.55,-13.0,13.5,-55.008,0.17126,0.09335,-0.2229,0.95508,22.9,10080.1.21,100
2025-05-07 11:48:39.874,WTRA(F7:C5:A7:64:8A:09),0.279,0.531,0.819,0.427,1.038,-0.305,33.43,-15.11,-148.22,-36.25,-37.375,-12.0,-0.29602,0.04343,0.30853,0.90289,23.3,10080.1.21,100
2025-05-07 11:48:39.930,WTLA(D2:5B:8F:2B:49:EE),0.263,-0.43,0.882,1.465,0.854,-0.916,-23.91,-14.84,162.54,-13.0,13.5,-55.008,0.17126,0.09335,-0.2229,0.95508,22.9,10080.1.21,100
2025-05-07 11:48:39.956,WTC(C4:80:F9:46:D1:94),-0.274,0.764,0.614,-1.343,9.583,0.671,50.26,16.75,-107.98,-29.25,-59.25,-70.308,-0.47702,-0.35013,0.25964,0.76312,25.8,10080.1.21,100
2025-05-07 11:48:39.998,WTRA(F7:C5:A7:64:8A:09),0.254,0.528,0.822,1.953,2.38,0.0,33.46,-15.01,-148.13,-36.75,-35.375,-10.933,-0.29602,0.04343,0.30853,0.90289,23.3,10080.1.21,100
2025-05-07 11:48:40.340,WTLA(D2:5B:8F:2B:49:EE),0.284,-0.424,0.874,0.244,-2.625,-0.732,-23.86,-14.73,162.39,-13.0,13.5,-55.008,0.17474,0.09305,-0.22183,0.95471,22.9,10080.1.21,100
2025-05-07 11:48:40.450,WTC(C4:80:F9:46:D1:94),-0.284,0.737,0.567,2.258,4.822,-0.793,49.91,16.91,-107.85,-29.25,-59.25,-70.308,-0.47787,-0.35361,0.25882,0.76126,25.8,10080.1.21,100
2025-05-07 11:48:40.560,WTRA(F7:C5:A7:64:8A:09),0.275,0.533,0.808,-1.038,-0.488,-0.366,33.45,-14.9,-148.08,-36.75,-35.375,-10.933,-0.29602,0.04343,0.30853,0.90289,23.3,10080.1.21,100
2025-05-07 11:48:40.106,WTC(C4:80:F9:46:D1:94),-0.271,0.731,0.604,5.859,-1.648,0.0,49.83,16.72,-108.17,-29.125,-59.375,-69.3,-0.47787,-0.35361,0.25882,0.76126,25.8,10080.1.21,100
2025-05-07 11:48:40.132,WTLA(D2:5B:8F:2B:49:EE),0.288,-0.428,0.862,0.061,-1.892,-0.916,-23.88,-15.02,162.39,-13.0,13.5,-55.008,0.17474,0.09305,-0.22183,0.95471,22.9,10080.1.21,100
2025-05-07 11:48:40.177,WTRA(F7:C5:A7:64:8A:09),0.28,0.522,0.823,-1.282,-0.977,1.404,33.34,-15.11,-148.14,-36.75,-35.375,-10.933,-0.2973,0.04379,0.30789,0.90265,23.3,10080.1.21,100
2025-05-07 11:48:40.231,WTC(C4:80:F9:46:D1:94),-0.266,0.75,0.652,1.465,-1.831,0.549,50.08,16.55,-108.32,-29.125,-59.375,-69.3,-0.47787,-0.35361,0.25882,0.76126,25.8,10080.1.21,100
2025-05-07 11:48:40.245,WTLA(D2:5B:8F:2B:49:EE),0.267,-0.422,0.876,3.418,5.188,1.343,-23.65,-14.83,162.27,-13.75,14.5,-51.792,0.17474,0.09305,-0.22183,0.95471,22.9,10080.1.21,100
2025-05-07 11:48:40.264,WTRA(F7:C5:A7:64:8A:09),0.272,0.525,0.815,-1.465,0.061,1.099,33.24,-15.28,-148.08,-36.75,-35.375,-10.933,-0.2973,0.04379,0.30789,0.90265,23.3,10080.1.21,100
2025-05-07 11:48:40.329,WTC(C4:80:F9:46:D1:94),-0.267,0.754,0.599,-0.793,0.305,-0.488,50.2,16.51,-108.3,-29.125,-59.375,-69.3,-0.47787,-0.35361,0.25882,0.76126,25.8,10080.1.21,100
2025-05-07 11:48:40.336,WTLA(D2:5B:8F:2B:49:EE),0.281,-0.415,0.897,1.526,0.122,2.441,-23.39,-14.53,162.41,-13.75,14.5,-51.792,0.1727,0.09192,-0.21725,0.95627,22.9,10080.1.21,100
2025-05-07 11:48:40.387,WTRA(F7:C5:A7:64:8A:09),0.278,0.523,0.809,-0.854,0.0,0.061,33.13,-15.28,-148.02,-35.875,-35.75,-8.717,-0.2973,0.04379,0.30789,0.90265,23.3,10080.1.21,100
2025-05-07 11:48:40.435,WTC(C4:80:F9:46:D1:94),-0.277,0.75,0.606,-2.502,2.625,0.122,50.02,16.57,-108.22,-29.125,-59.375,-69.3,-0.47678,-0.35138,0.26184,0.76193,25.8,10080.1.21,100
2025-05-07 11:48:40.458,WTLA(D2:5B:8F:2B:49:EE),0.299,-0.423,0.885,0.061,0.732,0.793,-23.36,-14.5,162.56,-13.75,14.5,-51.792,0.1727,0.09192,-0.21725,0.95627,22.9,10080.1.21,100
2025-05-07 11:48:40.473,WTRA(F7:C5:A7:64:8A:09),0.272,0.518,0.823,-0.916,0.122,0.0,33.04,-15.29,-147.97,-35.875,-35.75,-8.717,-0.2973,0.04379,0.30789,0.90265,23.3,10080.1.21,100
2025-05-07 11:48:40.529,WTLA(D2:5B:8F:2B:49:EE),0.273,-0.425,0.881,1.282,6.836,1.343,-23.35,-14.37,162.53,-11.25,13.875,-49.5,0.1727,0.09192,-0.21725,0.95627,22.9,10080.1.21,100
2025-05-07 11:48:40.530,WTC(C4:80:F9:46:D1:94),-0.28,0.75,0.621,-2.563,1.892,1.16,49.9,16.78,-107.8,-29.125,-59.375,-69.3,-0.47678,-0.35138,0.26184,0.76193,25.8,10080.1.21,100
2025-05-07 11:48:40.596,WTRA(F7:C5:A7:64:8A:09),0.288,0.523,0.812,-2.991,-2.136,0.061,32.87,-15.34,-147.97,-35.875,-35.75,-8.717,-0.2984,0.04669,0.30417,0.90341,23.3,10080.1.21,100
2025-05-07 11:48:40.635,WTLA(D2:5B:8F:2B:49:EE),0.287,-0.425,0.89,0.671,2.686,0.305,-23.25,-14.09,162.45,-11.25,13.875,-49.5,0.1727,0.09192,-0.21725,0.95627,22.9,10080.1.21,100
2025-05-07 11:48:40.647,WTC(C4:80:F9:46:D1:94),-0.275,0.734,0.618,2.441,-5.554,-0.671,49.92,16.83,-107.67,-30.375,-58.75,-68.117,-0.47678,-0.35138,0.26184,0.76193,25.8,10080.1.21,100
