时间,设备名称,加速度X(g),加速度Y(g),加速度Z(g),角速度X(°/s),角速度Y(°/s),角速度Z(°/s),角度X(°),角度Y(°),角度Z(°),磁场X(uT),磁场Y(uT),磁场Z(uT),四元数0(),四元数1(),四元数2(),四元数3(),温度(°C),版本号(),电量(%)
2025-05-07 11:48:39.890,WTRL(B95BEB737CD0),-0.014,0.939,0.347,2.136,-2.441,0.916,69.43,0.18,-124.55,-57.75,8.375,46.258,0.38104,0.26526,-0.5047,-0.72772,25.7,10080.1.21,100
2025-05-07 11:48:39.726,WTLL(633828FBF9B6),-0.323,0.913,-0.018,-6.714,4.333,-6.653,89.36,17.03,-110.19,-44.5,-2.375,19.608,0.30139,0.49768,-0.51691,-0.62784,26.9,10080.1.21,100
2025-05-07 11:48:39.779,WTRL(B95BEB737CD0),0.001,0.91,0.294,-2.075,8.362,0.671,69.47,-2.11,-127.78,-60.5,9.75,47.158,0.35822,0.23245,-0.53802,-0.72665,25.7,10080.1.21,100
2025-05-07 11:48:39.846,WTLL(633828FBF9B6),-0.208,0.973,0.032,5.371,-2.991,-13.428,89.54,18.08,-109.77,-44.5,-2.375,19.608,0.30139,0.49768,-0.51691,-0.62784,26.9,10080.1.21,100
2025-05-07 11:48:39.900,WTRL(B95BEB737CD0),-0.007,0.931,0.305,7.629,8.118,-0.916,69.85,-1.77,-127.09,-60.5,9.75,47.158,0.37338,0.24536,-0.52014,-0.72781,25.7,10080.1.21,100
2025-05-07 11:48:39.941,WTLL(633828FBF9B6),-0.391,0.935,0.003,22.278,18.799,-9.155,90.64,19.25,-109.68,-44.5,-2.375,19.608,0.30161,0.50485,-0.50565,-0.63116,26.9,10080.1.21,100
2025-05-07 11:48:39.989,WTRL(B95BEB737CD0),0.036,0.995,0.338,5.981,-4.15,8.728,70.52,-2.27,-127.14,-60.5,9.75,47.158,0.37338,0.24536,-0.52014,-0.72781,25.7,10080.1.21,100
2025-05-07 11:48:40.260,WTLL(633828FBF9B6),-0.422,1.324,0.186,5.127,-27.039,-8.606,92.34,19.93,-109.93,-44.5,-2.375,19.608,0.30161,0.50485,-0.50565,-0.63116,26.9,10080.1.21,100
2025-05-07 11:48:40.109,WTRL(B95BEB737CD0),0.071,1.196,0.332,5.31,-3.418,-0.977,71.09,-3.16,-127.88,-58.25,8.75,46.042,0.37338,0.24536,-0.52014,-0.72781,25.7,10080.1.21,100
2025-05-07 11:48:40.235,WTRL(B95BEB737CD0),0.112,0.905,0.36,-7.751,-2.686,-6.226,71.06,-2.71,-128.59,-58.25,8.75,46.042,0.37338,0.24536,-0.52014,-0.72781,25.7,10080.1.21,100
